singer,song_name,song_id
VaVa娃娃,C.O.M Freestyle (feat.GALI),2666596840
step.jad依加,CD盒,1907765990
Aioz,COCO,1436076578
罗言,COCO,2047036108
Gareth.T,CRUSH,1454970953
h3R3,CRUSH,1496587248
刘思达LOFTHESTAR,CRUSH,1496587248
kkluv,CRYSTAL Ⅰ,1895442656
Gareth.T,CUTIE,2055385119
阿肆,Call Me,529824286
DJ阿布,Call Me Now（DJ阿布Remix）,2709013389
王力宏,Can You Feel My World,25642868
萧亚轩,Cappuccino,307677
邓丽君,Careless Whisper,226313
方大同,Catch A Dream,524148328
Lunak,Catharsis,2711848345
h3R3,Cause I,1427619702
艾志恒Asen,Celebrate,2163619026
林依晨,Cha Cha,4875627
林依晨,Cha Cha,541422165
林依晨,Cha Cha,4876307
邹沛沛,Chill With Me,2640301967
TINY7,Chose one me,2673175227
TINY7,Chose one me (伴奏),2673175229
王安宇,City Of Stars,864647099
梨冻紧,City night,1964818015
AGA,CityPop,1821449457
马思唯,Coco Elva Tia,1960619633
周星星,Coco9,1337761764
周星星,Coco9 (伴奏),1337761765
万妮达Vinida Weng,Colorful World,405253317
万妮达Vinida Weng,Colorful World 2025,2699640485
Lil Ghost小鬼,Come Back,1366506904
周兴哲,Come Out Your Way,29932091
林依晨,Come To Me,255563
Lunak,Come Undone,2148750559
吴雨霏,Come With Me,487018095
MC HotDog 热狗,Coming Home,454698660
潘玮柏,Coming Home,489997584
梨冻紧,Coming of Age,1885236895
TINY7,Compound eye,1824323900
Lunak,Cyberphonk,2698956631
张韶涵,C大调,327092
法老,C级浪漫,2061626302
谢安琪,C餐,29460208
单依纯,D.N.A Cypher I,2096554884
万妮达Vinida Weng,D.N.A Cypher II,2096555805
Lil Ghost小鬼,DAVID&LUCY,2675103466
高睿,DAY BY DAY（中文）,2101789305
艾志恒Asen,DAY1,1492864083
kkluv,DODODO,2718582710
罗言,DON'T SAY,2036809488
卢广仲,DREAM LIKE ME,1952559454
Capper,DROPTOP!,1976485113
TizzyT,DROPTOP!,1976485113
AGA,DRUNK DIAL,2611493077
step.jad依加,DTM,2637717158
Gareth.T,Damned Like Hope,1440844335
喻言,Dance Monkey (live),2629058113
艾志恒Asen,Dancin' on My Own,2620983690
陈慧娴,Dancing Boy,212654
Lil Ghost小鬼,David&Lucy (Live),2695608909
蔡健雅,Day & Night,209226
Ice Paper,Day By Day,2677413255
Wiz_H张子豪,Day Off,2006750127
Lunak,Deadinside (Slap House),2717229655
蔡徐坤,Deadman,2708984802
单依纯,Dear Friend (live),2715051255
陶喆,Dear God,150556
吉克隽逸,Dear John (补唱版),1308818968
NINEONE#乃万,Dear X,1357395404
DJ阿智,Deep Chills-Run Free（DJ阿智 remix）,2707403351
曾舜晞,Dehors（中法合唱版）,2607303573
TINY7,Designer(设计师),1970109525
高旭,Destiny（Feat. 高旭）,1992809867
马思唯,Different Flow,1960619634
KONI可妮,Dirty Work aespa,2720057808
罗言,Distance (R3HAB Remix),2048344999
Capper,Distance (R3HAB Remix),2048344999
Lunak,Dizzy,2130464568
王以太,Do It Like This,2601180812
马思唯,Do That,2118458192
黄子弘凡,Do U,2672453890
MC HotDog 热狗,Do You Remember,1365873829
Gareth.T,Dog Days,1463366723
菲菲公主（陆绮菲）,Doll,2075913326
TizzyT,Don't Go Back Tonight,2043112316
孙盛希,Don't Panic,448518417
鞠婧祎,Don't Touch,1332954223
鹿晗,Don't bother (别来烦我),1492318170
张震岳,Don’t Give A Damn About Me！,185841
罗言,Don’t Lie（feat. 罗言）,2096457202
杨乃文,Don’t Mind Me feat. Crispy脆乐团,2076393201
颜人中,Don’t cry,1493976786
Gareth.T,Down,1452228867
Gareth.T,Drift,1465888076
Happer,Drifting Love,2678349991
NINEONE#乃万,Drop it,503932484
艾志恒Asen,EEEASY,2606942412
kkluv,EUPHORIA(亢奋)FEAT.那奇沃夫NarchyWolff,1923482413
蔡健雅,Easy Come Easy Go,27747326
MC HotDog 热狗,Easy Come Easy Go,27747326
MC HotDog 热狗,Easy Come Easy go,26269002
蔡健雅,Easy Come Easy go,26269002
曾舜晞,Eden 1009,511921464
TINY7,Emmm~,1852085929
陈壹千,Emo歌单,1976864277
梁博,Ending (Live),2084040253
Lunak,Escape From Us,2137148693
kkluv,Euphoria II,2718570723
AGA,Everyday,1377475585
step.jad依加,Everything Gonna Be Alright,546913805
万妮达Vinida Weng,E妹儿,2110777947
艾志恒Asen,FALL,1483522952
THOME,FALL 4 U,2705474672
Lunak,FEEL ALIVE,2115118380
G.E.M.邓紫棋,FIND YOU,1970560257
THOME,FLIP!,1467250218
kkluv,FLOH,2718582350
王力宏,FLOW,431855963
葛东琪,FM99.9:无人电台,1358852241
葛东琪,FM99.9：无人电台 (伴奏),1358852247
罗言,FRIDAY9,1970610322
kkluv,FRIDAY9,1970610322
kkluv,FRIDAY9 II,2038203229
唐伯虎Annie,Fall (落 English Ver.),2668268183
摩登兄弟刘宇宁,Fall In Love,1956236378
TINY7,Fall in love,1390909603
TINY7,Falling Deep,2710159692
队长,Falling Down,1432141836
Lunak,Falling again,2709432103
杨乃文,Fear,316090
沙一汀EL,Feder-裸奔（沙一汀EL remix）,1388568270
潘玮柏,Feel Like Drake,2154104341
鞠婧祎,Fighting Day (伴奏),474484025
张靓颖,Flashlight + You Ain't Right (Live),2707648116
杨乃文,Flow feat. Sunset Rollercoaster 落日飞车,2076394073
梁静茹,Fly Away,254294
KONI可妮,Fly to the youth NOWZ / 宋雨琦,2718502591
加木,Fly with me,2077914038
华晨宇,For Forever,426291338
韦礼安,For a Better Day,2681053263
Lil Ghost小鬼,Forever (Live),550136152
蔡徐坤,Forever (Live),550136152
王力宏,Forever Love,25641853
袁娅维TIA RAY,Forever Young (Live),1812953897
单依纯,Forever Young (Live),1482659236
mac ova seas,Forget it Feat.SETI,2655150876
mac ova seas,Forget it （feat. Mac Ova Seas）,2122615322
Ice Paper,Free-Out 2019 cypher,1408761974
Ice Paper,Free-Out 2023 Cypher,2037061220
马思唯,G Wagon Feat. 马思唯,2705003747
沙一汀EL,G.O.A.T,2617644447
马思唯,GOAT Right Now,2061966701
艾志恒Asen,GOAT Right Now,2061966701
TizzyT,GOING GO,41651206
王以太,GONE,1929391823
NINEONE#乃万,GONE,530657741
Lil Ghost小鬼,GOOD NIGHT,542690276
孙盛希,GOT U!,1450906427
孙盛希,GOT U！,1868505008
艾志恒Asen,GUOXIA,2617357550
AGA,Gas Station Diner,2674229292
NINEONE#乃万,Geek (Feat.法老),1867944928
万妮达Vinida Weng,Get Freaky With You,517566072
阿肆,Get Up,27501811
法老,Ghost Face (鬼脸) (LIVE版),2045332345
孙盛希,Give It to Me,1499779883
喻言,Give me all night,462686326
Gareth.T,Glow,1463399681
吉克隽逸,Glow Up (夺目光彩),2690221931
小凌,Glow - Piano&Strings Acoustic Ver.,1307013112
Lunak,Glue,2155756519
TizzyT,Going Go,1303273423
Lil Ghost小鬼,Good Life,2072191350
周星星,Good Morning Teacher,1876171297
加木,Good night,2024104852
郑润泽,Goodbye,1937448878
买辣椒也用券,Goodbye Goodluck,2659346624
NINEONE#乃万,Gossiper,1905082831
Lunak,Got It (PHONK),2679634795
Lunak,Got It 3,2702903192
Lunak,Got It 4,2708537789
Lunak,Got It 5,2713058485
Lunak,Got It 6,2720097868
Wiz_H张子豪,Gotta Keep on,2013417750
Aioz,H. (Remix),1473690082
Happer,H.E,2655123089
蔡徐坤,HAHA,1878591398
蔡徐坤,HAHA (Live),2026284243
沙一汀EL,HAPI,2104050298
G.E.M.邓紫棋,HELL,1970554402
kkluv,HIGH FASHION 2,2718571096
黄龄,HIGH歌,238634
Capper,HOOK ME UP,1906038438
葛东琪,HOT-XM（《奇葩兄妹》第二季片头曲）,476534774
潘玮柏,HOW ARE YOU,139862
梁咏琪,HOW I WISH,254658
TizzyT,HOW U FEEL IT,2156225602
Lil Ghost小鬼,Hadn't Met You,2050354382
Wiz_H张子豪,Hands up,2703700072
卫兰,Happy For You (feat. Janice Vidal),1855448284
蔡徐坤,Hard To Get,1359811313
孙盛希,Hate U MORE,2630250744
金海心,Hello,247834
罗言,Hello（爱是怪兽）,2007975568
葛东琪,Help Her,1358848615
华晨宇,Here We Are,420125810
曾舜晞,"Here we go, Belt and Road",1306507700
VaVa娃娃,Herstory,2640015584
Lunak,Hide Away (五一进行曲),2690590139
梨冻紧,Hold Me Tight（盖被子）,1852447642
法老,Hold My Hand (studio version),1988024508
Wiz_H张子豪,Holding On,1487559109
step.jad依加,Hollywood_Pt.2,1907769770
蔡徐坤,Home,1438865460
马思唯,Hometown,1960619632
王心凌,Honey,1474414193
鞠婧祎,Honey (618开心夜晚会),2602348586
孙燕姿,Honey Honey,287251
萧亚轩,Honey Honey Honey,307087
Lunak,Hope,2638333042
马思唯,House Music,2683304749
郭采洁,How Can I Tell You,399340500
蔡徐坤,Hug me (抱我),1965890511
蔡徐坤,Hug me(Remix版),2057546701
丁当,Hush,368147
Aioz,Huu,1951316796
希林娜依高,I Always Love You,2055273511
刘惜君,I Am Free,255290
张靓颖,I Believe,472854294
梨冻紧,I CAN'T LET YOU GO,1965111667
莫文蔚,I Do,499793180
Gareth.T,I Keep Scrolling Wishing you Would Comment,1427994118
AGA,I Know,1903676771
洛天依Official,I LOVE U,28830337
袁娅维TIA RAY,I Love You 3000+我想 (Live),1434062385
郭采洁,I Need You,22200073
郭采洁,I Remember,22200072
周兴哲,I See You Everywhere,523250333
THOME,I THINK I FELL IN ＜3,2706222841
范玮琪,I Think I,229350
喻言,I WANNA BE YOUR SLAVE,2061050237
余佳运,I Wanna(我想)(Live),473404348
Zy,I Watch The Moon（Beat）,2117449023
曾沛慈,I Will Find You,1971055947
韦礼安,I Wrote a Song for You,1442451774
王宇宙Leto,I don't cry,1906016165
沙一汀EL,I quit,1398343388
金海心,I wanna be with U,2153521646
TC,I'M OK,1882683583
h3R3,I'M YOURS PT.2 母带版,574084943
梁咏琪,I'll Be Loving You,255885
王力宏,I'm Alive,2661300617
Capper,I'm Drunk !,1415627841
蔡依林,I'm Not Yours,29732652
Happer,I'm feeling sad,2711888335
Wiz_H张子豪,I'm fine,1340607167
TizzyT,I.K.I.C,2065417017
马思唯,I.K.U.W.T,2713075922
韩红,IF YOU,409941447
喻言,IGNITE,2162926593
Zy,III（当遗书只能写两个字）,2599615008
Gareth.T,IJUSTWANNA,1397142785
孙盛希,INFP,2073727232
TINY7,IT'S TIME TO GO,1970109374
NINEONE#乃万,Ice Cube,1467957152
谢安琪,If I Ain't Got You(Live),82343
Lil Ghost小鬼,If I Can,1408900756
TINY7,If You Like Me,2653862879
郑润泽,If you,1864819164
买辣椒也用券,If This Dream,529120439
周柏豪,Imperfect,25706228
Lunak,Imperial Ambition,2709060852
杨丞琳,In Your Eyes,316101
Lunak,Insomnia,2698039409
蔡徐坤,Interlude-,1878589578
张碧晨,Interstellar,1407448661
蔡健雅,Into The Wild,1868850856
加木,Intro,2619463389
Lunak,Invincible,2697377933
菲菲公主（陆绮菲）,It was a long time,1491247971
郭顶,It's Always The Little Things,1327566544
余佳运,It's Been So Long,32217139
Lil Ghost小鬼,It's Ok (Live),550136151
蔡徐坤,It's You,1298130515
弦子,It's You,2644157434
蔡徐坤,It's You (Live),2026284244
蔡徐坤,I Wanna Get Love,526857315
葛东琪,I can take it,519304492
NINEONE#乃万,I don't wanna see u anymore,528326686
h3R3,I‘M YOURS PT.2,571758505
TINY7,I’m feeling good,1395269253
蔡依林,J-Top HITS (招牌动作＋看我72变＋说爱你＋睁一只眼闭一只眼＋布拉格广场＋倒带),209762
kkluv,JUICE,2615388618
张叶蕾,Jar Of Love,2600562545
DJ阿布,Jar Of Love（DJ阿布版）,2162234625
曾舜晞,Join Us in Winter,1913456371
王力宏,Julia,25642769
THOME,Julie,1436511992
很美味,June Missing,570189552
kkluv,KASABLANKA,2148786274
THOME,KILL THOME!!,2702041618
Lunak,KRUSH BANDICOOT 2,2685269753
陶喆,Katrina,150570
鹿晗,Keep Me Alive,1994253656
阿肆,Kick Ur Ass,428116957
TINY7,Kid king（孩子王）,1390956522
王力宏,Kiss Goodbye,25986093
潘玮柏,Kiss Me 123,139896
Lunak,Kisses Phone,2711863282
KONI可妮,Kiss Me Thru The Phone,2704487489
买辣椒也用券,K先生,1410701890
陈奕迅,K歌之王,67467
周柏豪,K歌之王 (live),2670676500
卫兰,K歌之王 (live),2670676500
萧亚轩,L.O.V.E,307093
THOME,LEAVE ME ALONE,2013291284
mac ova seas,LET ME LUV U,2085859568
鹿晗,LIGHTS (feat.鹿晗),2095489228
VaVa娃娃,LOSE,1385642763
队长,LOST,2009018926
ET,LOST,1876502011
队长,LOVE,2009017158
郑润泽,LOVE,2009017158
徐佳莹,Last Dance (Live),1432427898
韦礼安,Last Dance (Live版),2042836597
张韶涵,Last Dance (Live版),2042836597
张信哲,Last Dance (Live版),2042836597
莫文蔚,Last Dance (Live版),2042836597
杨宗纬,Last Dance (Live版),2042836597
杨乃文,Last Dance (Live版),2042836597
艾志恒Asen,Last King Freestyle,2032192601
张杰,Layla蕾拉,2008003739
TINY7,Leaon（OUTRO）,1970133510
TC,Leave Me Alone（寂寞作伴）,1806634682
队长,Let Go,1465310744
队长,Let Go 2.0,1813786796
队长,Let Go・2024,2120782602
孙盛希,Let Me Fall,1397616561
莫文蔚,Let's Fall In Love,277807
VaVa娃娃,Let's Go (feat. GAI),1500428655
刘大拿,Letting Go,1923184888
王宇宙Leto,Letting Go,1920994634
蔡健雅,Letting Go,208891
汪苏泷,Letting Go (Live版),2048584480
吉克隽逸,Letting Go (Live版),2048584480
h3R3,Liar,2160753892
VaVa娃娃,Life Is Beautiful,1424272069
VaVa娃娃,Life's A Struggle (Live),499793091
VaVa娃娃,Life's a struggle,511229034
TINY7,Light Or Heavy,2653871376
刘思达LOFTHESTAR,Lights Out,536625742
鞠婧祎,Like I Do,485354033
袁娅维TIA RAY,Like Me (feat. 袁娅维TIA RAY),1929062437
Gareth.T,Like The Snow,2654219452
THOME,Lilith 1,1811250981
THOME,Lilith 2,1811251941
喻言,Lion (Live),1447498722
NINEONE#乃万,Liquid (Feat.Capper),1867944927
郭采洁,Little Sunshine,233908
买辣椒也用券,Little Star（翻自 Standing Egg）,538156598
卢广仲,Live House,2032592503
法老,Logic - Dear god (remix）,512357642
金海心,Lolita,247827
黄丽玲,Lonely is the Night,2690549697
曾沛慈,Long Long Way,1971060703
Lunak,Lost Soul,2664427699
Lunak,Lost in breath,1989946206
郭采洁,Love & Love,233919
杨坤,Love Is Over (Live),1343027603
蔡依林,Love Love Love,209923
罗言,Love Singer,2156161161
方大同,Love Song,82360
方大同,Love Song [Timeless Live 2009],1451859559
很美味,Lover Boy 88,2032206092
mac ova seas,Luv Is Drug(ft.MURA$AKI),1345877199
韦礼安,Luvin' U,410508195
江辰,Lyy,1336789981
Lunak,MAGENTA POTION,2716211451
kkluv,MAMA,2133207055
kkluv,MAYBACH MUZIK,2718572390
mac ova seas,MAYDAY,2135445763
TINY7,MAYDAY,2102095980
MC HotDog 热狗,MC來了,32711052
MC HotDog 热狗,MC来了,135026
kkluv,MILLY WATCH,2148786997
Capper,MISTAKE,2021543605
AGA,MIZU,2032495359
MC HotDog 热狗,MJ Fresh Gang,28864682
kkluv,MONEY COME MONEY GO,2148786993
kkluv,MONEY COME MONEY GO 2,2718570020
Lunak,MONTAGEM TAMADA,2714691490
罗言,MOVE ON,2009226812
kkluv,MOVE ON,2009226812
THOME,MOVE ON,2009226812
THOME,MVP,1832633298
kkluv,MY LOVE,2718571528
蔡徐坤,Mack Daddy (Live),550138132
AGA,Mad,1424677609
买辣椒也用券,Magic Mirror,1467213197
喻言,Maroon Night (Live),2714734308
邹沛沛,Maybe You,2640301968
陶喆,Melody,150520
刘大拿,Melody,2143230383
王唯旖,Memory,1817560877
邹沛沛,Meridian (feat. 邹沛沛Peipei),2681668464
Capper,Merry Wannabe,2659382255
黄子弘凡,Miracle,2636353442
希林娜依高,Mirror,1848225226
AGA,Miss u Goodbye,2053700248
高旭,Mission,1454188418
万妮达Vinida Weng,MoJiaDai,1956445571
Lil Ghost小鬼,Monday (Live),2690538927
艾志恒Asen,Money Focused Freestyle,1989402883
周深,Monsters (Live),1428598981
NINEONE#乃万,Month,1990708264
Lil Ghost小鬼,Mood (Lil Ghost Remix),1840808119
加木,MoonZ（Prod.by CuD）,1954792506
陶喆,Moonchild,2690548915
袁娅维TIA RAY,Moonlight,1298986140
潘玮柏,Moonlight,1298986140
卫兰,Morning,26348081
TINY7,Mowalola,2047895962
蔡依林,Mr.Q,209724
step.jad依加,Ms.Friday,2708887583
mac ova seas,My Back,1411157152
卫兰,My Cookie Can,26902923
刘大拿,My Love (女版),2692051722
摩登兄弟刘宇宁,My O My,1384570191
白鹿,My Sugar,2027185542
鹿晗,My Sugar,2714420220
白鹿,My Sugar (伴奏),2027187787
张杰,My Sunshine,34179910
VaVa娃娃,My Way (live),2702982701
颜人中,My love,1493976789
王心凌,My! Cyndi!,1474411441
mac ova seas,Myself,2617357552
Capper,N.E.W.,2710594092
TizzyT,N.E.W.,2710594092
万妮达Vinida Weng,N.E.W.,2710594092
江辰,NANA,1430910897
NINEONE#乃万,NATASHA,1977929314
MC HotDog 热狗,NFT,1954982673
Lunak,NIGHTMARE,2641132352
Lil Ghost小鬼,NO 808,1487467406
h3R3,NOWAY,1356146636
队长,NUNA,1971912772
队长,NUNA 2.0,1979731860
郑润泽,NUNA3.0,2080177728
郭采洁,NaKuNa,1501938117
郭采洁,Never Let Me Go,1813801754
韩红,New Boy (live),2111034477
Lunak,New Rules ( Deep House ),2699638123
Wiz_H张子豪,Next,2013415039
NINEONE#乃万,Next Story,2601678105
卢广仲,Nice to Meet You,109524
蔡健雅,Nightglow,1333199831
AGA,Nights Without You,515627403
唐伯虎Annie,No Disco,1489250375
Lunak,No Feelings,2673220718
Gareth.T,No Hard Feelings (feat. CHERIE SLAYN),1470178154
高睿,No way,2605198396
郭顶,No!Oh!,85602
袁娅维TIA RAY,Nobody (Chinese Ver.) (Live),2163936030
万妮达Vinida Weng,Nobody (Chinese Ver.) (Live),2163936030
Gareth.T,Not Done With U (feat. Gareth.T),2716481276
GAI周延,Not Friendly,1953388635
Wiz_H张子豪,Not Nice Cypher,1864554578
Wiz_H张子豪,Not around,1410877387
方大同,Nothing's Gonna Change My Love For You,82123
Gareth.T,November Rain,1477530753
蔡依林,OH LA LA LA,2100441319
VaVa娃娃,OK (LIVE版),1962364495
艾志恒Asen,ON MY WAY,1387179876
王力宏,ONE 一个 (Live 版),2020252977
kkluv,ONEK,1839811921
THOME,ONLY ONE,2013290418
邹沛沛,OVERLOAD,2640301125
郭顶,Off,1929364432
mac ova seas,Oh Lord（prod by.TREETIME）,1383053757
郭顶,On,1929364431
王以太,On the road,1396141673
AGA,One Day At A Time,28453005
胡彦斌,One Night in Shanghai,92821
TizzyT,One T1me,2156229704
潘玮柏,One love (Live),504646537
TizzyT,Orange Memory,2156161162
罗言,Orange Memory,2156161162
GAI周延,Outro混蛋,2156862012
yihuik苡慧,Over,2714027562
mac ova seas,P Cypher,1969101201
艾志恒Asen,P Cypher,1969101201
kkluv,P Cypher,1969101201
黄丽玲,P.S.我爱你,205421
en（王翊恩）,P.S.我爱你,2118506306
鹿晗,P.XyZ (漂向宇宙尽头),2103645484
艾志恒Asen,P.Y.T,2059246226
马思唯,P.Y.T,2059246226
kkluv,PAIN LUV疼爱,1969584830
VaVa娃娃,PHUKET FREESTYLE,2130397099
THOME,PILLS,2705473722
梁静茹,PK,254101
VaVa娃娃,POW!!,2056504065
VaVa娃娃,POW!!!!!!!!!!!!!引爆 (LIVE版),2052405885
蔡徐坤,PPAP (A组现场版),534542406
THOME,PROBLEM CHILD,2705474671
AGA,Packed,412573142
蔡徐坤,Papillon (Live),542690024
TizzyT,Party是我家,2100329012
ET,Passion,2622512626
马思唯,Passport,2683304741
王以太,Pay Right Now (种瓜得瓜，种豆得豆),1876182019
Lunak,Payphone (Phonk House),2699900497
THOME,PeopleGetReady！,2163934060
Lunak,Phantom Waltz,2695649432
Lil Ghost小鬼,Pinky Murder,1470946943
蔡依林,Play我呸,29572738
THOME,Pluggnsex,2106406477
杨和苏KeyNG,Pray for you,553258598
马思唯,Private Party,1426032478
马思唯,Promise,1823305772
NINEONE#乃万,Promise (Live),1452433666
喻言,Promise (Live),1452433666
TINY7,Prove,2673175230
TINY7,Prove (伴奏),2673175231
马思唯,Pull Up,1938019211
蔡徐坤,Pull Up,1298130513
MC HotDog 热狗,Pull Up,1938019211
kkluv,Pull Up（feat.kkluv）,2624251785
KONI可妮,Put A Little Umph In It （女声版）Xun,2692058200
卢广仲,Que te pasa 你在干嘛？,109615
万妮达Vinida Weng,Queendom,472944295
马思唯,R&B All Night (Masiwei Remix),1457248123
Wiz_H张子豪,RACE MODE,2050633180
GAI周延,RAPSTAR,1469628663
张靓颖,RAPSTAR,1469628663
潘玮柏,RAPSTAR,1469628663
小凌,REDIAL（翻自 livetune）,1361571511
TizzyT,RELAX,1301575841
蔡徐坤,RIDE OR DIE (至死不渝),2122621401
NINEONE#乃万,RISING，MY WAY,1965640306
加木,RNB歌手就是这个**,2158987669
kkluv,ROMEO,2009235432
kkluv,RUTHLESS,1970538714
郭采洁,Rain Won't Stay,233927
王安宇,Rainbow,2709346844
Lil Ghost小鬼,Raining,1877724012
海洋Bo,Real Love,1894686944
海洋Bo,Real Love,1894704795
